code,lib,description
MDDD17,RDB,Severe material deprivation rate by tenure status
MDDD21,RDB,Severe material deprivation rate by NUTS region
MDDD60,RDB,"children At-risk-poverty-rate by Severe deprivation, age  and by maximum level of education of mother or father  "
MDHO05,RDB,"Share of total population having neither a bath, nor a shower, nor indoor flushing toilet in their household"
MDHO06a,RDB,"Severe housing deprivation rate by age,sex and poverty status"
MDHO06b,RDB,Severe housing deprivation rate by household type 
MDHO06c,RDB,Severe housing deprivation rate by  tenure status
MDHO06b,RDB,Severe housing deprivation rate by degree of urbanization
MDHO06q,RDB,Severe housing deprivation rate by degree of urbanisation
OV9B1,RDB,"Proportion of population lacking at least three items in the 'economic strain and durables' dimension of the material deprivation items by age, gender and at-risk-of-poverty status"
OV9B2,RDB,"Mean number of items lacked by persons considered as deprived in the 'economic strain and durables' dimension by age, gender and at-risk-of-poverty status"
PEES01,RDB,Intersections of Europe 2020 Poverty Target Indicators by age and gender
PEES02,RDB,Intersections of Europe 2020 Poverty Target Indicators by most frequent activity status (population aged 18 and over)
PEES03,RDB,Intersections of Europe 2020 Poverty Target Indicators by income quintile
PEES04,RDB,Intersections of Europe 2020 Poverty Target Indicators by type of household
PEES05,RDB,Intersections of Europe 2020 Poverty Target Indicators by education level (population aged 18 and over)
PEES06,RDB,Intersections of Europe 2020 Poverty Target Indicators by broad group of citizenship (population aged 18 and over)
PEES07,RDB,Intersections of Europe 2020 Poverty Target Indicators by broad group of country of birth (population aged 18 and over)
PEES08,RDB,Intersections of Europe 2020 Poverty Target Indicators by tenure status 
PEPS01,RDB,People at risk of poverty or social exclusion by age and gender
PEPS02,RDB,People at risk of poverty or social exclusion by most frequent activity status (population aged 18 and over)
PEPS03,RDB,People at risk of poverty or social exclusion by income quintile and household type
PEPS04,RDB,People at risk of poverty or social exclusion by education level (population aged 18 and over)
PEPS05,RDB,People at risk of poverty or social exclusion by broad group of citizenship (population aged 18 and over)
PEPS06,RDB,People at risk of poverty or social exclusion by broad group of country of birth (population aged 18 and over)
PEPS07,RDB,People at risk of poverty or social exclusion by tenure status 
PEPS11,RDB,People at risk of poverty or social exclusion by NUTS region
PEPS60,RDB,children At-risk-poverty-rate by age and education level of maximum level of education of mother or father
PNP10,RDB,Gender differences in the relative median income ratio
PNP11,RDB,Gender differences in the aggregate replacement ratio
PNP2,RDB,Relative median income ratio
PNP3,RDB,Aggregate replacement ratio
PNP9,RDB,Gender differences in  the at-risk-of-poverty rate 
PNS11,RDB,Gender differences in  the realative income median ratio 
PNS2,RDB,relative median income ratio
