PH070, Reason for unmet need for dental examination or treatment ,
PY010N, Net employee cash or near cash income ,
PY020N, Net Non-Cash employee income ,
PY035N, Contributions to individual pension plans ,
PY050N, Net cash benefits or losses from self- employment ,
PY070N, Value of goods for own consumption ,
PY080N, Regular pension from private plans ,
PY090N, Unemployment benefits ,
PY100N, Old-age benefits ,
PY110N, Survivor benefits ,
PY120N, Sickness benefits ,
PY130N, Disability benefits ,
PY140N, Education-related allowances ,
PY010G, Gross employee cash or near cash income ,
PY020G, Gross Non-Cash employee income ,
PY035G, Contributions to individual pension plans ,
PY050G, Gross cash benefits or losses from self- employment ,
PY070G, Value of goods for own consumption ,
PY080G, Regular pension from private schemes ,
PY090G, Unemployment benefits ,
PY100G, Old-age benefits ,
PY110G, Survivor benefits ,
PY120G, Sickness benefits ,
PY130G, Disability benefits ,
PY140G, Education-related allowances ,
PY200G, Gross monthly earnings for employees ,
PM005 , Personal intergenerational cross-sectional weight ,
